Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Return_Quantity,Return_Rate,Is_Returned,Discount_Ratio
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,High,411.59,3,Changed mind,Returned,387,58,Male,City54,Debit Card,Next-Day,45.27,3,1.0,1,0.3299642848465707
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,Medium,288.88,3,Wrong item,Returned,31,68,Female,City85,Credit Card,Express,47.79,3,1.0,1,0.4962960398781501
ORD00000002,PROD00000002,USER00000002,2023-05-06,,High,390.03,5,,Not Returned,,22,Female,City30,Debit Card,Next-Day,26.64,,,0,0.34151219136989464
ORD00000003,PROD00000003,USER00000003,2024-08-29,,High,401.09,3,,Not Returned,,40,Male,City95,PayPal,Next-Day,15.37,,,0,0.11496172928769105
ORD00000004,PROD00000004,USER00000004,2023-01-16,,Medium,110.09,4,,Not Returned,,34,Female,City80,Gift Card,Standard,16.37,,,0,0.5947860841129985
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,Medium,252.12,1,Defective,Returned,221,46,Female,City47,Debit Card,Next-Day,47.61,1,1.0,1,0.18883864826273203
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,High,382.89,2,Wrong item,Returned,66,25,Male,City50,Credit Card,Express,28.49,2,1.0,1,0.14881558672203504
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,High,306.39,3,Not as described,Returned,539,67,Female,City39,Credit Card,Express,38.91,3,1.0,1,0.3809850190933124
ORD00000008,PROD00000008,USER00000008,2024-12-25,2024-09-25,High,302.4,5,Defective,Returned,-91,54,Male,City81,Debit Card,Standard,18.5,5,1.0,1,0.30588624338624343
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,Medium,294.94,3,Not as described,Returned,317,44,Male,City82,Credit Card,Standard,45.21,3,1.0,1,0.45985624194751473
ORD00000010,PROD00000010,USER00000010,2024-05-26,,Medium,119.0,2,,Not Returned,,70,Female,City41,Credit Card,Next-Day,8.72,,,0,0.14655462184873952
ORD00000011,PROD00000011,USER00000011,2024-02-08,,High,480.48,4,,Not Returned,,54,Male,City22,Gift Card,Next-Day,0.27,,,0,0.002247752247752248
ORD00000012,PROD00000012,USER00000012,2024-06-07,,Medium,216.41,3,,Not Returned,,66,Male,City17,PayPal,Standard,30.26,,,0,0.41948153967007074
ORD00000013,PROD00000013,USER00000013,2023-07-22,,Medium,198.78,2,,Not Returned,,51,Male,City85,PayPal,Next-Day,36.58,,,0,0.36804507495723915
ORD00000014,PROD00000014,USER00000014,2024-09-01,,Medium,146.37,4,,Not Returned,,45,Male,City9,PayPal,Next-Day,28.23,,,0,0.7714695634351302
